customer,age,merchant,category,amount,fraud
'C1529207541','2','M732195782','es_travel',1084.11,0
'C1686098746','0','M980657600','es_sportsandtoys',186.23,0
'C2144562698','1','M480139044','es_health',263.05,0
'C792820521','1','M1198415165','es_wellnessandbeauty',181.92,0
'C1545977603','6','M980657600','es_sportsandtoys',115.54,0
'C2014915363','2','M480139044','es_health',316.12,0
'C1859195979','3','M980657600','es_sportsandtoys',229.92,0
'C2105324799','4','M980657600','es_sportsandtoys',95.43,0
'C350034124','1','M480139044','es_health',338.47,0
'C367052603','2','M980657600','es_sportsandtoys',186.06,0
'C738091100','2','M980657600','es_sportsandtoys',86.59,0
'C1207935724','4','M480139044','es_health',259.89,0
'C320158645','2','M480139044','es_health',296.61,0
'C1432191075','0','M480139044','es_health',379.6,0
'C1165343027','4','M2122776122','es_home',523.11,0
'C932908444','1','M1888755466','es_otherservices',176.82,0
'C831378949','2','M980657600','es_sportsandtoys',74.21,0
'C443009341','2','M480139044','es_health',395.86,0
'C793132240','4','M732195782','es_travel',731.49,0
'C881776576','2','M1788569036','es_sportsandtoys',260.8,0
'C738091100','2','M480139044','es_health',285.14,0
'C1815102713','4','M980657600','es_sportsandtoys',163.79,0
'C28065321','2','M980657600','es_sportsandtoys',19.18,0
'C1571595392','2','M480139044','es_health',228.97,0
'C375144053','6','M480139044','es_health',318.98,0
'C895561340','2','M2011752106','es_hotelservices',210.93,0
'C2014915363','2','M980657600','es_sportsandtoys',121.27,0
'C1890466358','3','M980657600','es_sportsandtoys',207.11,0
'C688041542','2','M480139044','es_health',235.3,0
'C411390898','3','M980657600','es_sportsandtoys',118.2,0
'C1983968298','4','M480139044','es_health',241.17,0
'C402758720','3','M480139044','es_health',319.28,0
'C761606185','2','M980657600','es_sportsandtoys',77.48,0
'C1539474222','2','M1198415165','es_wellnessandbeauty',186.5,0
'C2001505633','5','M1198415165','es_wellnessandbeauty',195.44,0
'C1475317372','1','M480139044','es_health',257.7,0
'C1228152586','1','M480139044','es_health',223.28,0
'C572709519','4','M480139044','es_health',253.97,0
'C1927346472','1','M480139044','es_health',228.98,0
'C1822295676','3','M2122776122','es_home',310.13,0
'C583110837','3','M732195782','es_travel',495.71,0
'C576358551','6','M480139044','es_health',243.3,0
'C1810630647','2','M480139044','es_health',226.52,0
'C1431362064','1','M732195782','es_travel',748.33,0
'C1338572942','2','M980657600','es_sportsandtoys',25.07,0
'C1050458046','6','M923029380','es_home',279.04,0
'C1337135199','2','M980657600','es_sportsandtoys',69.07,0
